Time (hrs),Absorbance,pH,Temperature (℃)
0,0.48,6,30.5
2,0.43,5,27
4,0.21,4.5,27
6,0.72,5.5,27
8,0.61,5.5,30.8
10,0.68,6,30.5
12,0.6,5.5,31.5
14,0.42,5,30
16,0.44,5,30
18,0.69,4.8,32
20,0.35,4,33
22,0.45,5,35
24,0.54,5,31
